Respondent_ID,Segment,Anket_Adi,Anket_Tarihi,Acente_Adi,Sehir,Bolge,CustomerName,CustomerType,Filo_Retail,Yas,Cinsiyet,Gelir_Grubu,S2_Stenos_Kredisi_Kullandi_mi,S3_Tercih_Etmeme_Nedeni,S12_En_Onemli_Neden,S4_Teklif_Alinan_Kuruluslar,S5_Kredi_Kullanilan_Kurulus,Odeme_Yontemi,S6_Bilgilendirme_Memnuniyeti,S7_Dijital_Kolayliklarin_Onemi,S8_Marka_Baglantisi_Etkili_mi,S9_Onemli_Ek_Avantajlar,S10_Kasko_Tercih_Etmeme_Nedeni,S11_Gelecekte_Tercih_Olasiligi,M1_Veri_Paylasim_Izni,S6_Endeks_100,S6_Top2Box,S11_Yuksek_Egilim
CSI-NCR-00011,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-07-12,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Galip Akdeniz,Otomobil-Binek,Retail,48,Kadın,25.001 - 50.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,İş Bankası; Şekerbank; TEB (Türk Ekonomi Bankası); Halk Bankası,İş Bankası,Rakip Kuruluş Kredisi,8,9,1,Sigorta kolaylığı; Online store; Vade seçenekleri,Sigorta şirketi memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%26 - %50,1,77.8,0,0
CSI-NCR-00012,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-08-19,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Ortak Ömür Duran Karadeniz,Otomobil-Binek,Retail,46,Kadın,25.001 - 50.000 TL,2,Borçlanmak istemedim / mevcut kredi yüküm vardı,Borçlanmak istemedim / mevcut kredi yüküm vardı,Kuveyt Türk; TEB (Türk Ekonomi Bankası),Henüz kredi kullanmadım,Nakit / Havale,7,9,2,Özel müşteri temsilcisi; İşlem masrafı,Servis hizmet memnuniyetsizliği,%26 - %50,1,66.7,0,0
CSI-NCR-00013,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-06-15,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Tuğtaş Halidun Akgündüz,Hafif Ticari,Retail,47,Kadın,50.001 - 85.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,OdeaBank; HSBC Bank,OdeaBank,Rakip Kuruluş Kredisi,9,10,1,Sigorta kolaylığı,Sigorta şirketi memnuniyetsizliği,%76 - %100,1,88.9,1,1
CSI-NCR-00014,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-12-19,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Sücaettin Kısakürek,Otomobil-Binek,Retail,42,Erkek,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,QNB Fibabank; Burgan Bank,Henüz kredi kullanmadım,Nakit / Havale,3,8,1,Vade seçenekleri; Online store; Özel müşteri temsilcisi,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%26 - %50,1,22.2,0,0
CSI-NCR-00015,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-05-15,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Buhari Akçay,Otomobil-Binek,Retail,24,Erkek,25.001 - 50.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,OdeaBank; Türkiye Finans; Finans Bank,OdeaBank,Rakip Kuruluş Kredisi,5,7,1,Ödeme tatili / Ödemesiz dönem; Özel müşteri temsilcisi; İşlem masrafı,Servis hizmet memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%51 - %75,2,44.4,0,1
CSI-NCR-00016,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-12-03,Stenos Gaziantep Şahinbey,Gaziantep,Güney Doğu Anadolu Bölgesi,Doç. Metinkaya Türk,Otomobil-Binek,Retail,44,Kadın,25.000 TL altı,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,ING; Ziraat Bankası; Burgan Bank; HSBC Bank,ING,Rakip Kuruluş Kredisi,7,10,1,Özel müşteri temsilcisi; Ödeme tatili / Ödemesiz dönem; Vade seçenekleri,Servis hizmet memnuniyetsizliği; Sigorta şirketi memnuniyetsizliği,%51 - %75,1,66.7,0,1
CSI-NCR-00017,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-06-25,Stenos İstanbul Maslak,İstanbul,Marmara Bölgesi,Okt. Havse Selvi Mansız,Otomobil-Binek,Retail,50,Erkek,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Finans Bank; OdeaBank; QNB Fibabank,Henüz kredi kullanmadım,Nakit / Havale,10,6,2,Vade seçenekleri; Ödeme tatili / Ödemesiz dönem; İşlem masrafı,Sigorta şirketi memnuniyetsizliği,%51 - %75,1,100.0,1,1
CSI-NCR-00018,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-02-18,Stenos İstanbul Kadıköy,İstanbul,Marmara Bölgesi,Seniha Hasgül Duran,Otomobil-Binek,Retail,49,Erkek,25.000 TL altı,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,Şekerbank; Türkiye Finans; Kuveyt Türk; Anadolubank,Şekerbank,Rakip Kuruluş Kredisi,7,8,1,Vade seçenekleri; Sigorta kolaylığı; Özel müşteri temsilcisi,Sigorta şirketi memnuniyetsizliği,%76 - %100,1,66.7,0,1
CSI-NCR-00019,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-04-08,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Çev. Ünsever Özdil Güçlü,Hafif Ticari,Retail,33,Erkek,25.001 - 50.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Türkiye Finans; OdeaBank,Türkiye Finans,Rakip Kuruluş Kredisi,7,10,1,Online store; Özel müşteri temsilcisi; Vade seçenekleri,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%51 - %75,1,66.7,0,1
CSI-NCR-00020,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-04-03,Stenos Diyarbakır Kayapınar,Diyarbakır,Güney Doğu Anadolu Bölgesi,Kamar Tarhan,Otomobil-Binek,Filo,39,Erkek,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,OdeaBank; Denizbank; AlBaraka,Henüz kredi kullanmadım,Nakit / Havale,8,9,1,Ödeme tatili / Ödemesiz dönem; Vade seçenekleri; Sigorta kolaylığı,Kendi sigortacısının olması / Tanıdık acente olması,%76 - %100,1,77.8,0,1
CSI-NCR-00021,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-03-28,Stenos İzmir Bornova,İzmir,Ege Bölgesi,Öğr. Lezize Nursim Zorlu Fırat,Otomobil-Binek,Retail,25,Kadın,25.000 TL altı,2,Kampanya ve vade koşulları uygun değildi,Kampanya ve vade koşulları uygun değildi,Anadolubank; Alternatifbank; Kuveyt Türk,Anadolubank,Rakip Kuruluş Kredisi,10,9,2,Sigorta kolaylığı; İşlem masrafı,Sigorta şirketi memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%51 - %75,1,100.0,1,1
CSI-NCR-00022,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-05-11,Stenos Antalya Muratpaşa,Antalya,Akdeniz Bölgesi,Uz. Gülnaziye Şehza Yaman,Otomobil-Binek,Retail,57,Erkek,50.001 - 85.000 TL,2,Kendi bankamın teklifi daha uygundu,Kendi bankamın teklifi daha uygundu,QNB Fibabank; Ziraat Bankası; AlBaraka,QNB Fibabank,Rakip Kuruluş Kredisi,10,10,2,Sigorta kolaylığı; Vade seçenekleri; Özel müşteri temsilcisi,Kendi sigortacısının olması / Tanıdık acente olması; Sigorta şirketi memnuniyetsizliği,%51 - %75,2,100.0,1,1
CSI-NCR-00023,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-01-29,Stenos Diyarbakır Kayapınar,Diyarbakır,Güney Doğu Anadolu Bölgesi,Ayülker Şensoy,Otomobil-Binek,Retail,59,Kadın,50.001 - 85.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Burgan Bank; Vakıflar Bankası; QNB Fibabank,Burgan Bank,Rakip Kuruluş Kredisi,6,7,2,Sigorta kolaylığı; Online store,Kendi sigortacısının olması / Tanıdık acente olması,%26 - %50,1,55.6,0,0
CSI-NCR-00024,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-02-22,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Av. Nura Durmuş İhsanoğlu,Otomobil-Binek,Retail,45,Erkek,25.001 - 50.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Burgan Bank; Alternatifbank,Burgan Bank,Rakip Kuruluş Kredisi,5,10,2,İşlem masrafı; Özel müşteri temsilcisi; Sigorta kolaylığı,Servis hizmet memnuniyetsizliği; Sigorta şirketi memnuniyetsizliği,%51 - %75,1,44.4,0,1
CSI-NCR-00025,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-02-27,Stenos İzmir Bornova,İzmir,Ege Bölgesi,Yasan Şehamet Fırat Akdeniz,Hafif Ticari,Retail,34,Erkek,150.000 TL üzeri,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Denizbank; Türkiye Finans,Henüz kredi kullanmadım,Nakit / Havale,6,8,2,İşlem masrafı; Özel müşteri temsilcisi; Ödeme tatili / Ödemesiz dönem,Sigorta şirketi memnuniyetsizliği,%0 -%25,1,55.6,0,0
CSI-NCR-00026,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-12-21,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Fenni Atatöre İnönü Aksu,Otomobil-Binek,Retail,28,Kadın,50.001 - 85.000 TL,2,Kendi bankamın teklifi daha uygundu,Kendi bankamın teklifi daha uygundu,Vakıflar Bankası; HSBC Bank; Akbank,Vakıflar Bankası,Rakip Kuruluş Kredisi,4,7,2,Online store,Servis hizmet memnuniyetsizliği,%26 - %50,2,33.3,0,0
CSI-NCR-00027,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-12-06,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Serda Akçay,Otomobil-Binek,Retail,62,Erkek,150.000 TL üzeri,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Ziraat Bankası,Henüz kredi kullanmadım,Nakit / Havale,9,5,2,Sigorta kolaylığı; Vade seçenekleri,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%51 - %75,1,88.9,1,1
CSI-NCR-00028,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-04-02,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,İntihap Şafak,Otomobil-Binek,Retail,78,Erkek,150.000 TL üzeri,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,AlBaraka,Henüz kredi kullanmadım,Nakit / Havale,8,7,2,İşlem masrafı; Ödeme tatili / Ödemesiz dönem,Sigorta şirketi memnuniyetsizliği,%51 - %75,1,77.8,0,1
CSI-NCR-00029,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-04-08,Stenos Denizli Merkezefendi,Denizli,Ege Bölgesi,Dölensoy Alemdar,Otomobil-Binek,Retail,62,Erkek,50.001 - 85.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Türkiye Finans; Ziraat Bankası,Henüz kredi kullanmadım,Nakit / Havale,8,8,2,Vade seçenekleri; İşlem masrafı; Özel müşteri temsilcisi,Sigorta şirketi memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%76 - %100,1,77.8,0,1
CSI-NCR-00030,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-01-14,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Okt. Arziye Ruhide Yorulmaz Gülen,Hafif Ticari,Filo,41,Erkek,50.001 - 85.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Kuveyt Türk; Burgan Bank; Garanti Bankası; QNB Fibabank,Kuveyt Türk,Rakip Kuruluş Kredisi,5,6,2,Sigorta kolaylığı,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%51 - %75,1,44.4,0,1
CSI-NCR-00031,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-07-20,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Hatin Nüdret Çorlu Arsoy,Otomobil-Binek,Retail,28,Kadın,50.001 - 85.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Türkiye Finans; Garanti Bankası,Henüz kredi kullanmadım,Nakit / Havale,8,7,1,Online store; Sigorta kolaylığı; İşlem masrafı,Servis hizmet memnuniyetsizliği,%51 - %75,1,77.8,0,1
CSI-NCR-00032,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-03-28,Stenos İzmir Bornova,İzmir,Ege Bölgesi,Bay Gümüştekin Ayvas Karadeniz,Otomobil-Binek,Retail,43,Kadın,85.001 - 150.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,Kuveyt Türk; ING; QNB Fibabank,Kuveyt Türk,Rakip Kuruluş Kredisi,5,5,2,İşlem masrafı,Servis hizmet memnuniyetsizliği; Sigorta şirketi memnuniyetsizliği,%0 -%25,1,44.4,0,0
CSI-NCR-00033,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-12-05,Stenos Denizli Merkezefendi,Denizli,Ege Bölgesi,Eşim Yaman,Otomobil-Binek,Retail,33,Erkek,85.001 - 150.000 TL,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,Türkiye Finans; AlBaraka,Henüz kredi kullanmadım,Nakit / Havale,5,8,2,Ödeme tatili / Ödemesiz dönem; Özel müşteri temsilcisi; İşlem masrafı,Servis hizmet memnuniyetsizliği,%26 - %50,1,44.4,0,0
CSI-NCR-00034,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-09-20,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Feremez İnançlı Güçlü,Otomobil-Binek,Retail,37,Kadın,85.001 - 150.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,TEB (Türk Ekonomi Bankası); Denizbank; Burgan Bank,TEB (Türk Ekonomi Bankası),Rakip Kuruluş Kredisi,7,7,1,Vade seçenekleri,Kendi sigortacısının olması / Tanıdık acente olması,%51 - %75,1,66.7,0,1
CSI-NCR-00035,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-02-03,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Çerçi Demirel,Hafif Ticari,Filo,43,Kadın,50.001 - 85.000 TL,2,Borçlanmak istemedim / mevcut kredi yüküm vardı,Borçlanmak istemedim / mevcut kredi yüküm vardı,Finans Bank; Türkiye Finans,Henüz kredi kullanmadım,Nakit / Havale,9,8,2,Online store; Vade seçenekleri; Sigorta kolaylığı,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%51 - %75,1,88.9,1,1
CSI-NCR-00036,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-06-15,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Öğr. Şöhret Yılmaz Akçay,Otomobil-Binek,Retail,21,Erkek,25.001 - 50.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,Yapı ve Kredi Bankası; HSBC Bank; Burgan Bank,Yapı ve Kredi Bankası,Rakip Kuruluş Kredisi,5,7,1,İşlem masrafı; Vade seçenekleri,Sigorta şirketi memnuniyetsizliği,%76 - %100,1,44.4,0,1
CSI-NCR-00037,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-06-03,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Adlan Eraslan,Otomobil-Binek,Retail,68,Kadın,50.001 - 85.000 TL,2,Yeterli kredi limiti / onay alamadım,Yeterli kredi limiti / onay alamadım,Kuveyt Türk; Finans Bank; Şekerbank,Kuveyt Türk,Rakip Kuruluş Kredisi,6,6,2,Online store,Sigorta şirketi memnuniyetsizliği,%51 - %75,1,55.6,0,1
CSI-NCR-00038,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-01-12,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,İzgü Manço,Otomobil-Binek,Retail,50,Erkek,50.001 - 85.000 TL,2,Kampanya ve vade koşulları uygun değildi,Kampanya ve vade koşulları uygun değildi,AlBaraka; OdeaBank,AlBaraka,Rakip Kuruluş Kredisi,6,9,1,Ödeme tatili / Ödemesiz dönem; Sigorta kolaylığı; İşlem masrafı,Kendi sigortacısının olması / Tanıdık acente olması; Servis hizmet memnuniyetsizliği,%76 - %100,2,55.6,0,1
CSI-NCR-00039,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-05-19,Stenos Antalya Muratpaşa,Antalya,Akdeniz Bölgesi,Dr. Mahter Havse Hançer,Otomobil-Binek,Retail,42,Erkek,50.001 - 85.000 TL,2,Faiz oranları yüksek geldi,Faiz oranları yüksek geldi,HSBC Bank; AlBaraka; Burgan Bank,HSBC Bank,Rakip Kuruluş Kredisi,5,9,1,Vade seçenekleri,Servis hizmet memnuniyetsizliği; Kendi sigortacısının olması / Tanıdık acente olması,%26 - %50,1,44.4,0,0
CSI-NCR-00040,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2025-11-23,Stenos İstanbul Kadıköy,İstanbul,Marmara Bölgesi,Alcan Enes Seven Şener,Otomobil-Binek,Retail,66,Kadın,150.000 TL üzeri,2,Nakit alımı tercih ettim,Nakit alımı tercih ettim,TEB (Türk Ekonomi Bankası); OdeaBank; Ziraat Bankası,Henüz kredi kullanmadım,Nakit / Havale,4,7,2,Ödeme tatili / Ödemesiz dönem,Servis hizmet memnuniyetsizliği,%0 -%25,1,33.3,0,0
CSI-NCR-00041,Kredi Kullanmayan Müşteri,Stenos Auto_2025_CSI_KrediKullanmayanlar_Soru_Formu_v4-Final,2026-02-23,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Dr. Dilcan Ticen Tevetoğlu Duran,Otomobil-Binek,Filo,31,Erkek,25.001 - 50.000 TL,2,Borçlanmak istemedim / mevcut kredi yüküm vardı,Borçlanmak istemedim / mevcut kredi yüküm vardı,Halk Bankası,Henüz kredi kullanmadım,Nakit / Havale,7,7,1,Vade seçenekleri; Ödeme tatili / Ödemesiz dönem,Kendi sigortacısının olması / Tanıdık acente olması,%76 - %100,2,66.7,0,1
