Respondent_ID,Segment,Anket_Adi,Anket_Tarihi,G1_Acente_Adi,Acente_Adi,Sehir,Bolge,G6_Ad_Soyad,G7_Bolum,G5_Sorumlu_Segment,G4_Gorev_Satis,G4X_Gorev_Sigorta,G3_Calisma_Suresi,Acente_Satis_Basarisi_Endeks_100,M7_Oneri_Duzeyi_Kod,M7_Oneri_Duzeyi,M1c_Baska_Kurumla_Calisiyor_mu,M1a_Yogun_Calisilan_Kurumlar,M1b_Tercih_Nedeni,M4a_Genel_Memnuniyet_Finans,M3_Brand_Retention,M6_Recommendation_NPS,M6x_Brand_Importance,M10_Sadakat_Unsuru_mu,M11_Neden,M8_Mutlu_Eden_Etkenler,M9_Iyilestirilecek_Konular,S1_1_Ziyaret_Genel_Memnuniyet,S1_2_Ziyaret_Sikligi_Memnuniyet,S3a_Kredilendirme_Sureci,S3b_Stenos_CRM_Memnuniyeti,S3bx_Stenos_CRM_Memnuniyeti_Sigorta,S3b_1_CRM_Sistem_Hizi,S3c_CRM_Memnuniyetsizlik_Nedeni,S5c_Egitim_Memnuniyeti,S6_Mobil_App_Bahsediyor_mu,S7_Mobil_App_Oneriyor_mu,S8_Onermeme_Nedeni,Q1_En_Basarili_Sigorta_Sirketleri,M4aX_Kasko_Genel_Memnuniyet,M6x_Kasko_Tavsiye,Q3_Kasko_Onerme_Egilimi,Q5_Onermeme_Nedeni,Q6_Onerme_Nedeni,M1_Veri_Paylasim_Izni,CRM_Memnuniyeti_Birlesik,CRM_Endeks_100,NPS_Kategori,Genel_Memnuniyet_Birlesik
DSI-00011,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-06-18,Stenos Ankara Çankaya,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Dirlik İhsanoğlu,Satış,Otomobil,Showroom Müdürü/ 2. El Showroom Müdürü,,1 yıl – 3 yıl arası,86.6,4.0,Kredi için en sık önerdiğim finans kurumudur,1.0,Stenos Auto Finans; Garanti Bankası; Türkiye Finans,Evrak süreci daha basit,9.0,9.0,9.0,7.0,1.0,,Bankalar gibi şube limitinin olmaması; Yeniden borcu yapılandırması; Finansal açıdan güçlü bir kurum olması,Banka kadar esnek olunmaması; Evrakların sık sık kaybolması,9.0,7.0,7.0,10.0,,6,,8.0,1.0,1.0,,,,,9,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,10.0,100.0,Promoter,9.0
DSI-00012,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-09-05,Stenos Erzurum Yakutiye,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Ziyaettin Demir,Satış,Hafif ticari araçlar,Acente Operasyon Sorumlusu (S.O.S.),,3 yıldan fazla,45.7,,,,,,6.0,,,4.0,1.0,,Finansal açıdan güçlü bir kurum olması; Stenos CRM üzerinden takip yapılabilmesi; Esnek ödeme planı sunması,Kolay ulaşılır olmaması,,,5.0,7.0,,8,,5.0,1.0,1.0,,,,,5,Fiyat rekabetçi değil / hasar süreci yavaş,,1,7.0,66.7,,6.0
DSI-00013,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-03-31,Stenos İzmir Bornova,Stenos İzmir Bornova,İzmir,Ege Bölgesi,Öğr. Şehreban Demirel Bilir,Sigorta,,,Sigorta Danışmanı,1 yıl – 3 yıl arası,68.3,,,,,,,,,,,,,,,,,,8.0,7,,,,,,Allianz; Axa; Zurich,8.0,8.0,7,,"Teminat kapsamı geniş, müşteri memnun kalıyor",2,8.0,77.8,,8.0
DSI-00014,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-03-11,Stenos İstanbul Kadıköy,Stenos İstanbul Kadıköy,İstanbul,Marmara Bölgesi,Hayrünnisa Durmuş Hayrioğlu,Satış,Hafif ticari araçlar,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,1 yıldan daha az bir süredir,71.8,3.0,Önerdiğim birkaç finans kurumundan biridir,1.0,Stenos Auto Finans; QNB Fibabank,Faiz avantajı,8.0,9.0,6.0,7.0,1.0,,Sabit faiz uygulaması; Kontaktaki kişilerin olumlu sıcak yaklaşımları,Yoğun olmalarından dolayı işlerin ilerlememesi; Telefonlara geri dönülmemesi,99.0,9.0,7.0,5.0,,4,"Ekranlar arası geçiş yavaş, rapor almak zor",8.0,1.0,1.0,,,,,9,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,5.0,44.4,Detractor,8.0
DSI-00015,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-04-06,Stenos Malatya Battalgazi,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Nurseda Sidar Duran,Satış,Otomobil,Satış müdürü,,3 yıldan fazla,41.9,5.0,Kredi için önerdiğim tek finans kurumudur,2.0,Stenos Auto Finans; Halk Bankası,Faiz avantajı,5.0,3.0,4.0,1.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Güvenilir bir kurum olması; Düşük faiz uygulaması,Fazla evrak istenmesi; Yeterince eğitim verilmemesi,5.0,99.0,3.0,5.0,,6,"Ekranlar arası geçiş yavaş, rapor almak zor",5.0,1.0,2.0,Süreçte hatırlamıyorum,,,,7,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,5.0,44.4,Detractor,5.0
DSI-00016,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-02-07,Stenos Erzurum Yakutiye,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Meveddet Kader Arsoy Zorlu,Satış,Tüm segmentler,Satış müdürü,,1 yıl – 3 yıl arası,43.7,2.0,Nadiren önerdiğim finans kurumudur,1.0,Stenos Auto Finans; ING,Faiz avantajı,8.0,9.0,7.0,8.0,1.0,,Güvenilir bir kurum olması; Finansal açıdan güçlü bir kurum olması; Toplam paket sunması (sigorta gibi),Telefonların hep meşgul olması ya da cevap verilmemesi; Yoğun olmalarından dolayı işlerin ilerlememesi; Sürecin hiçbir aşamasında geri bildirim yapılmaması; Eksik evrak bildiriminin geç haber verilmesi,10.0,8.0,5.0,7.0,,8,,8.0,2.0,1.0,,,,,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",2,7.0,66.7,Passive,8.0
DSI-00017,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-04-12,Stenos Bursa Nilüfer,Stenos Bursa Nilüfer,Bursa,Marmara Bölgesi,Öğr. Canur Sezgin Gül,Satış,Hafif ticari araçlar,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,83.9,5.0,Kredi için önerdiğim tek finans kurumudur,1.0,Stenos Auto Finans; Şekerbank; Ziraat Bankası,Onay süreleri kısa,8.0,7.0,10.0,9.0,1.0,,Çözüm odaklı olmaları; Güvenilir bir kurum olması,Satış danışmanlarının inisiyatif almaması; Banka kadar esnek olunmaması; Sürecin hiçbir aşamasında geri bildirim yapılmaması; Tecrübesiz çalışanlarının olması,10.0,6.0,7.0,9.0,,5,,7.0,1.0,1.0,,,,,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,9.0,88.9,Promoter,8.0
DSI-00018,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-07-23,Stenos Bursa Nilüfer,Stenos Bursa Nilüfer,Bursa,Marmara Bölgesi,Prof. Muhiye Çamurcuoğlu Bilir,Sigorta,,,Sigorta Danışmanı,3 yıldan fazla,75.0,,,,,,,,,,,,,,,,,,8.0,8,,,,,,Ray; Sompo; Axa,9.0,9.0,10,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,8.0,77.8,,9.0
DSI-00019,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-02-25,Stenos Erzurum Yakutiye,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Mihriye Rojnu Türk Durdu,Satış,Tüm segmentler,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,40.0,2.0,Nadiren önerdiğim finans kurumudur,1.0,Stenos Auto Finans; Finans Bank; İş Bankası,Onay süreleri kısa,3.0,2.0,3.0,1.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Stenos CRM üzerinden takip yapılabilmesi; Kolay ulaşılabilirlik; Eski müşteriyi takip edebilme olanağı; Stenos CRM sisteminin iyi olması,Kolay ulaşılır olmaması; Telefonlara geri dönülmemesi; Teknolojik alt yapılarının olmaması,2.0,2.0,1.0,3.0,,2,"Ekranlar arası geçiş yavaş, rapor almak zor",3.0,2.0,2.0,Uygulamayı yeterince tanımıyorum,,,,4,Fiyat rekabetçi değil / hasar süreci yavaş,,1,3.0,22.2,Detractor,3.0
DSI-00020,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-05-23,Stenos Ankara Çankaya,Stenos Ankara Çankaya,Ankara,İç Anadolu Bölgesi,Doç. Bican Aclan Eraslan,Satış,Tüm segmentler,Acente Operasyon Sorumlusu (S.O.S.),,1 yıl – 3 yıl arası,86.0,,,,,,6.0,,,2.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Stenos CRM üzerinden takip yapılabilmesi; Sabit faiz uygulaması,Satış danışmanlarının inisiyatif almaması,,,6.0,8.0,,8,,7.0,1.0,1.0,,,,,9,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,8.0,77.8,,6.0
DSI-00021,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-08-21,Stenos İstanbul Maslak,Stenos İstanbul Maslak,İstanbul,Marmara Bölgesi,Çev. Fayize Gülinaz Şama,Satış,Hafif ticari araçlar,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,1 yıl – 3 yıl arası,69.0,1.0,Genelde önermediğim finans kurumudur,2.0,Stenos Auto Finans; Anadolubank,Faiz avantajı,8.0,10.0,8.0,10.0,1.0,,Esnek ödeme planı sunması; Eski müşteriyi takip edebilme olanağı; Çözüm odaklı olmaları; Stenos CRM üzerinden takip yapılabilmesi,Eksik evrak bildiriminin geç haber verilmesi; Sürecin hiçbir aşamasında geri bildirim yapılmaması,10.0,6.0,5.0,8.0,,7,,8.0,1.0,1.0,,,,,8,,"Teminat kapsamı geniş, müşteri memnun kalıyor",2,8.0,77.8,Passive,8.0
DSI-00022,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-05-09,Stenos Kayseri Melikgazi,Stenos Kayseri Melikgazi,Kayseri,İç Anadolu Bölgesi,Öğr. Serda İvecen Yüksel,Satış,Hafif ticari araçlar,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,3 yıldan fazla,67.1,5.0,Kredi için önerdiğim tek finans kurumudur,2.0,Stenos Auto Finans; AlBaraka,Onay süreleri kısa,5.0,6.0,4.0,6.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Çözüm odaklı olmaları; Bankalar gibi şube limitinin olmaması; Kontaktaki kişilerin olumlu sıcak yaklaşımları,Evrakların sık sık kaybolması; Telefonlara geri dönülmemesi,6.0,99.0,6.0,4.0,,2,"Ekranlar arası geçiş yavaş, rapor almak zor",6.0,1.0,1.0,,,,,5,Fiyat rekabetçi değil / hasar süreci yavaş,,1,4.0,33.3,Detractor,5.0
DSI-00023,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-03-30,Stenos Adana Seyhan,Stenos Adana Seyhan,Adana,Akdeniz Bölgesi,Arş. Gör. Nafile Eraslan İnönü,Satış,Tüm segmentler,Showroom Müdürü/ 2. El Showroom Müdürü,,3 yıldan fazla,64.2,2.0,Nadiren önerdiğim finans kurumudur,2.0,Stenos Auto Finans; Denizbank,Faiz avantajı,6.0,7.0,5.0,7.0,1.0,,Kontaktaki kişilerin olumlu sıcak yaklaşımları; Stenos CRM sisteminin iyi olması; Eski müşteriyi takip edebilme olanağı,Telefonlara geri dönülmemesi; Eksik evrak bildiriminin geç haber verilmesi,5.0,7.0,4.0,6.0,,6,"Ekranlar arası geçiş yavaş, rapor almak zor",5.0,1.0,1.0,,,,,5,Fiyat rekabetçi değil / hasar süreci yavaş,,2,6.0,55.6,Detractor,6.0
DSI-00024,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-01-31,Stenos Malatya Battalgazi,Stenos Malatya Battalgazi,Malatya,Doğu Anadolu Bölgesi,Doç. Tanses Ertaş Aksu,Satış,Otomobil,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,1 yıl – 3 yıl arası,46.6,3.0,Önerdiğim birkaç finans kurumundan biridir,1.0,Stenos Auto Finans; Alternatifbank; Garanti Bankası,Uzun süredir çalışıyoruz,8.0,7.0,4.0,7.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Sabit faiz uygulaması; Düşük faiz uygulaması; Bankalar gibi şube limitinin olmaması,Faizlerin yüksek olması; Kolay ulaşılır olmaması; Satış danışmanlarının inisiyatif almaması,10.0,6.0,9.0,7.0,,8,,6.0,1.0,2.0,Uygulamayı yeterince tanımıyorum,,,,7,,"Teminat kapsamı geniş, müşteri memnun kalıyor",2,7.0,66.7,Detractor,8.0
DSI-00025,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-01-20,Stenos İzmir Bornova,Stenos İzmir Bornova,İzmir,Ege Bölgesi,Ganiye Esengün Gül Duran,Satış,Tüm segmentler,Showroom Müdürü/ 2. El Showroom Müdürü,,3 yıldan fazla,62.4,3.0,Önerdiğim birkaç finans kurumundan biridir,1.0,Stenos Auto Finans; Vakıflar Bankası; İş Bankası,Evrak süreci daha basit,6.0,3.0,3.0,6.0,1.0,,Finansal açıdan güçlü bir kurum olması; Kontaktaki kişilerin olumlu sıcak yaklaşımları; Esnek ödeme planı sunması; Düşük faiz uygulaması,Eksik evrak bildiriminin geç haber verilmesi,6.0,2.0,4.0,8.0,,7,,5.0,1.0,1.0,,,,,3,Fiyat rekabetçi değil / hasar süreci yavaş,,1,8.0,77.8,Detractor,6.0
DSI-00026,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2026-05-25,Stenos Trabzon Ortahisar,Stenos Trabzon Ortahisar,Trabzon,Karadeniz Bölgesi,Uz. Zeyno Şensoy Yorulmaz,Satış,Otomobil,Satış müdürü,,3 yıldan fazla,77.0,4.0,Kredi için en sık önerdiğim finans kurumudur,2.0,Stenos Auto Finans; OdeaBank; Akbank,Müşteri temsilcisi desteği iyi,10.0,9.0,7.0,8.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Finansal açıdan güçlü bir kurum olması; Esnek ödeme planı sunması; Stenos CRM sisteminin iyi olması; Yeniden borcu yapılandırması,Tecrübesiz çalışanlarının olması,10.0,9.0,10.0,7.0,,9,,10.0,1.0,2.0,Müşteriler dijital kullanmak istemiyor,,,,9,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,7.0,66.7,Passive,10.0
DSI-00027,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-06-10,Stenos Erzurum Yakutiye,Stenos Erzurum Yakutiye,Erzurum,Doğu Anadolu Bölgesi,Şahat Şekim Erdoğan,Satış,Tüm segmentler,Satış Danışmanı / 2.El Satış Danışmanı / Satış Pazarlama Sorumlusu,,1 yıldan daha az bir süredir,47.3,2.0,Nadiren önerdiğim finans kurumudur,2.0,Stenos Auto Finans; TEB (Türk Ekonomi Bankası),Uzun süredir çalışıyoruz,6.0,4.0,5.0,6.0,2.0,Rakip kurumların koşulları daha esnek kalıyor,Düşük faiz uygulaması; Çözüm odaklı olmaları,Faizlerin yüksek olması,5.0,4.0,4.0,5.0,,3,"Ekranlar arası geçiş yavaş, rapor almak zor",8.0,1.0,1.0,,,,,5,Fiyat rekabetçi değil / hasar süreci yavaş,,1,5.0,44.4,Detractor,6.0
DSI-00028,Bayi Çalışanı / DSI,Stenos Auto_2025_DSI_Soru_Formu_Stenos CRM_v6Final,2025-08-14,Stenos Denizli Merkezefendi,Stenos Denizli Merkezefendi,Denizli,Ege Bölgesi,Çopur Abdurrahman Seven,Sigorta,,,Sigorta Danışmanı,1 yıl – 3 yıl arası,99.9,,,,,,,,,,,,,,,,,,8.0,10,,,,,,Zurich; Quick; Axa,10.0,9.0,10,,"Teminat kapsamı geniş, müşteri memnun kalıyor",1,8.0,77.8,,10.0
